Identity,Type,Source,Source Owner,Account Name,Entitlement Name,Display Name,Description,Decision Comments,Status,Recipient,Requester,Completed,Comments
a8HN9Xm7HY6OWEa a8HN9Xm7HY6OWEa (a8HN9Xm7HY6OWEa),Entitlement,Database Access Review,Peter Fictum (100254),a8hn9xm7hy6owea,Entitlement,"Server: A2PWDREVSQL02, Database: deferredRevenue_2018, DB Role: db_datawriter, Status: Enabled","Server: A2PWDREVSQL02, Database: deferredRevenue_2018, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
N2_e9C7A90E3DB8448 N2_e9C7A90E3DB8448 (N2_e9C7A90E3DB8448),Entitlement,Database Access Review,Peter Fictum (100254),n2_e9c7a90e3db8448,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2017, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2017, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
wF5643C298B5E41 wF5643C298B5E41 (wF5643C298B5E41),Entitlement,Database Access Review,Peter Fictum (100254),wf5643c298b5e41,Entitlement,"Server: P3PWDREVSQL01, Database: eCommAccounting, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: eCommAccounting, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
nMo0jUb56543Csa nMo0jUb56543Csa (nMo0jUb56543Csa),Entitlement,Database Access Review,Peter Fictum (100254),nmo0jub56543csa,Entitlement,"Server: P3PWPSQL02, Database: GoDaddy, DB Role: db_datawriter, Status: Enabled","Server: P3PWPSQL02, Database: GoDaddy, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
aE472DC38352F24 aE472DC38352F24 (aE472DC38352F24),Entitlement,Database Access Review,Peter Fictum (100254),ae472dc38352f24,Entitlement,"Server: P3PWFKSQL02, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled","Server: P3PWFKSQL02, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
goon_01j0trnjagv51zwg5bwdky8pan goon_01j0trnjagv51zwg5bwdky8pan (goon_01j0trnjagv51zwg5bwdky8pan),Entitlement,Database Access Review,Peter Fictum (100254),goon_01j0trnjagv51zwg5bwdky8pan,Entitlement,"Server: P3PWPSQL02, Database: godaddyCPL, DB Role: db_datawriter, Status: Enabled","Server: P3PWPSQL02, Database: godaddyCPL, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
nMo0jUb56543Csa nMo0jUb56543Csa (nMo0jUb56543Csa),Entitlement,Database Access Review,Peter Fictum (100254),nmo0jub56543csa,Entitlement,"Server: A2PWPSQL01, Database: gdMasterPromo, DB Role: db_datawriter, Status: Enabled","Server: A2PWPSQL01, Database: gdMasterPromo, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
CHba4ITBZSjR0Aw CHba4ITBZSjR0Aw (CHba4ITBZSjR0Aw),Entitlement,Database Access Review,Peter Fictum (100254),chba4itbzsjr0aw,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2020, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2020, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
goon_01j1d6ks6wbrawe1gmpcthaqg1 goon_01j1d6ks6wbrawe1gmpcthaqg1 (goon_01j1d6ks6wbrawe1gmpcthaqg1),Entitlement,Database Access Review,Peter Fictum (100254),goon_01j1d6ks6wbrawe1gmpcthaqg1,Entitlement,"Server: A2PWPSQL01, Database: gdMasterPromo, DB Role: db_datawriter, Status: Enabled","Server: A2PWPSQL01, Database: gdMasterPromo, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
Qiong Wu (412584),Entitlement,Database Access Review,Peter Fictum (100254),dc1\qwu,Entitlement,"Server: A2PWDREVSQL02, Database: godaddyBilling, DB Role: db_owner, Status: Enabled","Server: A2PWDREVSQL02, Database: godaddyBilling, DB Role: db_owner, Status: Enabled",,Open,Peter Fictum (100254),Bryan Focht (202136),,
a8HN9Xm7HY6OWEa a8HN9Xm7HY6OWEa (a8HN9Xm7HY6OWEa),Entitlement,Database Access Review,Peter Fictum (100254),a8hn9xm7hy6owea,Entitlement,"Server: A2PWDREVSQL02, Database: deferredRevenue_2015, DB Role: db_datawriter, Status: Enabled","Server: A2PWDREVSQL02, Database: deferredRevenue_2015, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
a8HN9Xm7HY6OWEa a8HN9Xm7HY6OWEa (a8HN9Xm7HY6OWEa),Entitlement,Database Access Review,Peter Fictum (100254),a8hn9xm7hy6owea,Entitlement,"Server: A2PWDREVSQL02, Database: deferredRevenue, DB Role: db_datawriter, Status: Enabled","Server: A2PWDREVSQL02, Database: deferredRevenue, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
goon_01j0trnjagv51zwg5bwdky8pan goon_01j0trnjagv51zwg5bwdky8pan (goon_01j0trnjagv51zwg5bwdky8pan),Entitlement,Database Access Review,Peter Fictum (100254),goon_01j0trnjagv51zwg5bwdky8pan,Entitlement,"Server: P3PWPSQL02, Database: SSL, DB Role: db_datawriter, Status: Enabled","Server: P3PWPSQL02, Database: SSL, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
dc1\msvc_q5k88m1dcb$ dc1\msvc_q5k88m1dcb$ (dc1\msvc_q5k88m1dcb$),Entitlement,Database Access Review,Peter Fictum (100254),dc1\msvc_q5k88m1dcb$,Entitlement,"Server: A2PWDREVSQL02, Database: deferredRevenue_2024, DB Role: db_datawriter, Status: Enabled","Server: A2PWDREVSQL02, Database: deferredRevenue_2024, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
Qiong Wu (412584),Entitlement,Database Access Review,Peter Fictum (100254),dc1\qwu,Entitlement,"Server: A2PWDREVSQL02, Database: eCommAccounting, DB Role: db_owner, Status: Enabled","Server: A2PWDREVSQL02, Database: eCommAccounting, DB Role: db_owner, Status: Enabled",,Open,Peter Fictum (100254),Bryan Focht (202136),,
Jacob Brooks (403672),Entitlement,Database Access Review,Peter Fictum (100254),dc1\jbrooks2,Entitlement,"Server: A2PWPSQL01, Database: GoDaddy, DB Role: db_datawriter, Status: Enabled, Via AD Group: platapi","Server: A2PWPSQL01, Database: GoDaddy, DB Role: db_datawriter, Status: Enabled, Via AD Group: platapi",Certification Items Revoked By Rachit Tanwar,Finished,Peter Fictum (100254),Rachit Tanwar (440439),"2/23/26, 5:05 PM",
N1_q55F823628CCA4D N1_q55F823628CCA4D (N1_q55F823628CCA4D),Entitlement,Database Access Review,Peter Fictum (100254),n1_q55f823628cca4d,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2019, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2019, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
goon_01j1trtjmdjgs87htfpp485dbs goon_01j1trtjmdjgs87htfpp485dbs (goon_01j1trtjmdjgs87htfpp485dbs),Entitlement,Database Access Review,Peter Fictum (100254),goon_01j1trtjmdjgs87htfpp485dbs,Entitlement,"Server: A2PWPSQL01, Database: gdMasterPromo, DB Role: db_datawriter, Status: Enabled","Server: A2PWPSQL01, Database: gdMasterPromo, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
Ex9ajxlEd2Rsx4e Ex9ajxlEd2Rsx4e (Ex9ajxlEd2Rsx4e),Entitlement,Database Access Review,Peter Fictum (100254),ex9ajxled2rsx4e,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2025, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2025, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
CHba4ITBZSjR0Aw CHba4ITBZSjR0Aw (CHba4ITBZSjR0Aw),Entitlement,Database Access Review,Peter Fictum (100254),chba4itbzsjr0aw,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2009, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2009, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
g6f789iuhy676g6 g6f789iuhy676g6 (g6f789iuhy676g6),Entitlement,Database Access Review,Peter Fictum (100254),g6f789iuhy676g6,Entitlement,"Server: P3PWBIGRPTSQL03, Database: godaddyAccounting, DB Role: db_datawriter, Status: Enabled","Server: P3PWBIGRPTSQL03, Database: godaddyAccounting, DB Role: db_datawriter, Status: Enabled",,Finished,Peter Fictum (100254),Peter Fictum (100254),"2/27/26, 9:03 PM",
a8HN9Xm7HY6OWEa a8HN9Xm7HY6OWEa (a8HN9Xm7HY6OWEa),Entitlement,Database Access Review,Peter Fictum (100254),a8hn9xm7hy6owea,Entitlement,"Server: A2PWDREVSQL02, Database: deferredRevenue_2019, DB Role: db_datawriter, Status: Enabled","Server: A2PWDREVSQL02, Database: deferredRevenue_2019, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
goon_01j0v4sm3snbfdmfxsqcntkpnm goon_01j0v4sm3snbfdmfxsqcntkpnm (goon_01j0v4sm3snbfdmfxsqcntkpnm),Entitlement,Database Access Review,Peter Fictum (100254),goon_01j0v4sm3snbfdmfxsqcntkpnm,Entitlement,"Server: A2PWPSQL01, Database: GoDaddyCPL, DB Role: db_datawriter, Status: Enabled","Server: A2PWPSQL01, Database: GoDaddyCPL, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Nandakumar Babu (208300),,
CHba4ITBZSjR0Aw CHba4ITBZSjR0Aw (CHba4ITBZSjR0Aw),Entitlement,Database Access Review,Peter Fictum (100254),chba4itbzsjr0aw,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2017, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2017, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
e8D61E915F63F4B e8D61E915F63F4B (e8D61E915F63F4B),Entitlement,Database Access Review,Peter Fictum (100254),e8d61e915f63f4b,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2014, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2014, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
Qiong Wu (412584),Entitlement,Database Access Review,Peter Fictum (100254),dc1\qwu,Entitlement,"Server: A2PWDREVSQL02, Database: GoDaddy, DB Role: db_owner, Status: Enabled","Server: A2PWDREVSQL02, Database: GoDaddy, DB Role: db_owner, Status: Enabled",,Open,Peter Fictum (100254),Bryan Focht (202136),,
e8D61E915F63F4B e8D61E915F63F4B (e8D61E915F63F4B),Entitlement,Database Access Review,Peter Fictum (100254),e8d61e915f63f4b,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2025, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2025, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
DTm50vzYP5QHWky DTm50vzYP5QHWky (DTm50vzYP5QHWky),Entitlement,Database Access Review,Peter Fictum (100254),dtm50vzyp5qhwky,Entitlement,"Server: A2PWPCISQL01, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled","Server: A2PWPCISQL01, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
r8343E24A54A342 r8343E24A54A342 (r8343E24A54A342),Entitlement,Database Access Review,Peter Fictum (100254),r8343e24a54a342,Entitlement,"Server: A2PWPCISQL01, Database: goDaddyBasket, DB Role: db_datawriter, Status: Enabled","Server: A2PWPCISQL01, Database: goDaddyBasket, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
e8D61E915F63F4B e8D61E915F63F4B (e8D61E915F63F4B),Entitlement,Database Access Review,Peter Fictum (100254),e8d61e915f63f4b,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
r39EF07C3E73C42 r39EF07C3E73C42 (r39EF07C3E73C42),Entitlement,Database Access Review,Peter Fictum (100254),r39ef07c3e73c42,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2009, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2009, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
N2_e9C7A90E3DB8448 N2_e9C7A90E3DB8448 (N2_e9C7A90E3DB8448),Entitlement,Database Access Review,Peter Fictum (100254),n2_e9c7a90e3db8448,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2010, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2010, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
g499A69A4AB5441 g499A69A4AB5441 (g499A69A4AB5441),Entitlement,Database Access Review,Peter Fictum (100254),g499a69a4ab5441,Entitlement,"Server: A2PWDREVSQL02, Database: eCommAccounting, DB Role: db_owner, Status: Enabled","Server: A2PWDREVSQL02, Database: eCommAccounting, DB Role: db_owner, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
Joseph Hanes (406815),Entitlement,Database Access Review,Peter Fictum (100254),dc1\jhanes,Entitlement,"Server: P3PWBIGRPTSQL03, Database: msdb, DB Role: db_ssisadmin, Status: Enabled","Server: P3PWBIGRPTSQL03, Database: msdb, DB Role: db_ssisadmin, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Finished,Peter Fictum (100254),Rachit Tanwar (440439),"2/27/26, 9:03 PM",
k103ACDA54EE341 k103ACDA54EE341 (k103ACDA54EE341),Entitlement,Database Access Review,Peter Fictum (100254),k103acda54ee341,Entitlement,"Server: P3PWBIGRPTSQL04, Database: Server Level Permission, DB Role: dbcreator, Status: Enabled","Server: P3PWBIGRPTSQL04, Database: Server Level Permission, DB Role: dbcreator, Status: Enabled",,Finished,Peter Fictum (100254),Peter Fictum (100254),"2/27/26, 9:03 PM",
CHba4ITBZSjR0Aw CHba4ITBZSjR0Aw (CHba4ITBZSjR0Aw),Entitlement,Database Access Review,Peter Fictum (100254),chba4itbzsjr0aw,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_xxxx, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_xxxx, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
goon_01j1tq5p8ey1vw4r5v2d3wx4cr goon_01j1tq5p8ey1vw4r5v2d3wx4cr (goon_01j1tq5p8ey1vw4r5v2d3wx4cr),Entitlement,Database Access Review,Peter Fictum (100254),goon_01j1tq5p8ey1vw4r5v2d3wx4cr,Entitlement,"Server: A2PWPSQL01, Database: SSL, DB Role: db_datawriter, Status: Enabled","Server: A2PWPSQL01, Database: SSL, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
DC1\02d414pd4uaaA DC1\02d414pd4uaaA (DC1\02d414pd4uaaA),Entitlement,Database Access Review,Peter Fictum (100254),dc1\02d414pd4uaaa,Entitlement,"Server: P3PWACTSQL03, Database: acctProjects, DB Role: db_owner, Status: Enabled","Server: P3PWACTSQL03, Database: acctProjects, DB Role: db_owner, Status: Enabled",Refer to RITM2878181 for MSSQL Removal ticket.,Finished,Peter Fictum (100254),Brittany Randall (200303),"2/27/26, 9:03 PM",
goon_01j1d6ks6wbrawe1gmpcthaqg1 goon_01j1d6ks6wbrawe1gmpcthaqg1 (goon_01j1d6ks6wbrawe1gmpcthaqg1),Entitlement,Database Access Review,Peter Fictum (100254),goon_01j1d6ks6wbrawe1gmpcthaqg1,Entitlement,"Server: P3PWPSQL02, Database: gdMasterCatalog, DB Role: db_datawriter, Status: Enabled","Server: P3PWPSQL02, Database: gdMasterCatalog, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
goon_01j1trt98wnqskxskyq7fek4wd goon_01j1trt98wnqskxskyq7fek4wd (goon_01j1trt98wnqskxskyq7fek4wd),Entitlement,Database Access Review,Peter Fictum (100254),goon_01j1trt98wnqskxskyq7fek4wd,Entitlement,"Server: P3PWPSQL02, Database: gdMasterCatalog, DB Role: db_datawriter, Status: Enabled","Server: P3PWPSQL02, Database: gdMasterCatalog, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
e8D61E915F63F4B e8D61E915F63F4B (e8D61E915F63F4B),Entitlement,Database Access Review,Peter Fictum (100254),e8d61e915f63f4b,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2023, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2023, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
Ex9ajxlEd2Rsx4e Ex9ajxlEd2Rsx4e (Ex9ajxlEd2Rsx4e),Entitlement,Database Access Review,Peter Fictum (100254),ex9ajxled2rsx4e,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
goon_01j1fpanf692rtz7k14a73mdpr goon_01j1fpanf692rtz7k14a73mdpr (goon_01j1fpanf692rtz7k14a73mdpr),Entitlement,Database Access Review,Peter Fictum (100254),goon_01j1fpanf692rtz7k14a73mdpr,Entitlement,"Server: P3PWPSQL02, Database: gdInterCompanyReceipt, DB Role: db_datawriter, Status: Enabled","Server: P3PWPSQL02, Database: gdInterCompanyReceipt, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
dc1\msvc_zk0kjlavk8$ dc1\msvc_zk0kjlavk8$ (dc1\msvc_zk0kjlavk8$),Entitlement,Database Access Review,Peter Fictum (100254),dc1\msvc_zk0kjlavk8$,Entitlement,"Server: P3PWPSQL02, Database: godaddyBilling, DB Role: db_datawriter, Status: Enabled","Server: P3PWPSQL02, Database: godaddyBilling, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
Kashish Dhawan (439978),Entitlement,Database Access Review,Peter Fictum (100254),dc1\kdhawan,Entitlement,"Server: A2PWPSQL01, Database: GoDaddy, DB Role: db_ddladmin, Status: Enabled","Server: A2PWPSQL01, Database: GoDaddy, DB Role: db_ddladmin, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
g499A69A4AB5441 g499A69A4AB5441 (g499A69A4AB5441),Entitlement,Database Access Review,Peter Fictum (100254),g499a69a4ab5441,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2008, DB Role: db_owner, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2008, DB Role: db_owner, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
N1_q55F823628CCA4D N1_q55F823628CCA4D (N1_q55F823628CCA4D),Entitlement,Database Access Review,Peter Fictum (100254),n1_q55f823628cca4d,Entitlement,"Server: A2PWDREVSQL02, Database: deferredRevenue_2016, DB Role: db_datawriter, Status: Enabled","Server: A2PWDREVSQL02, Database: deferredRevenue_2016, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
CHba4ITBZSjR0Aw CHba4ITBZSjR0Aw (CHba4ITBZSjR0Aw),Entitlement,Database Access Review,Peter Fictum (100254),chba4itbzsjr0aw,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2018, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2018, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
GoDaddyCustomer GoDaddyCustomer (GoDaddyCustomer),Entitlement,Database Access Review,Peter Fictum (100254),godaddycustomer,Entitlement,"Server: A2PWPCISQL01, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled","Server: A2PWPCISQL01, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
goon_01j1fpanf692rtz7k14a73mdpr goon_01j1fpanf692rtz7k14a73mdpr (goon_01j1fpanf692rtz7k14a73mdpr),Entitlement,Database Access Review,Peter Fictum (100254),goon_01j1fpanf692rtz7k14a73mdpr,Entitlement,"Server: A2PWPSQL01, Database: GoDaddyCPL, DB Role: db_datawriter, Status: Enabled","Server: A2PWPSQL01, Database: GoDaddyCPL, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
wF5643C298B5E41 wF5643C298B5E41 (wF5643C298B5E41),Entitlement,Database Access Review,Peter Fictum (100254),wf5643c298b5e41,Entitlement,"Server: A2PWDREVSQL02, Database: eCommAccounting, DB Role: db_datawriter, Status: Enabled","Server: A2PWDREVSQL02, Database: eCommAccounting, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
dc1\msvc_q5k88m1dcb$ dc1\msvc_q5k88m1dcb$ (dc1\msvc_q5k88m1dcb$),Entitlement,Database Access Review,Peter Fictum (100254),dc1\msvc_q5k88m1dcb$,Entitlement,"Server: A2PWDREVSQL02, Database: deferredRevenue_2007, DB Role: db_datawriter, Status: Enabled","Server: A2PWDREVSQL02, Database: deferredRevenue_2007, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
